name,employer
Tom Mendoza,NetApp
Tom Savage,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Tomicah S. Tillemann,United States Department of State
Tommy Finlayson,Government of Gibraltar
Tomás Harris,MI5
Tonea Stewart,Alabama State University
Tony Barrell,Australian Broadcasting Corporation
Tony Fenton,Today FM
Tony O,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Tony Reali,ESPN
Tony Russo,RAND Corporation
Tony Veitch,Television New Zealand
Tony Venzon,National League
Tony Wrighton,Virgin Books
Tooru Fujisawa,Kodansha
Tor Ragnar Nessling,Sisu Auto
Traudl Junge,Adolf Hitler
Trevor Sheldon,University of York
Tricia Dickson,New Generation Pictures
Tricia Takasugi,KTTV
Trina Nishimura,Funimation
Trip Hawkins,Digital Chocolate
Tristan James Mabry,Naval Postgraduate School
Truman Michelson,Smithsonian Institution
Tullian Tchividjian,Coral Ridge Presbyterian Church
Tushar Makwana,Heart West Midlands
Ty King-Wall,The Australian Ballet
Tyler Gatewood Kent,United States Foreign Service
Ubiratan Guimarães,Military Police of S%C3%A3o Paulo State
Ulrich Hommel,European Foundation for Management Development
Uriel Weinreich,Columbia University
Ursula Vernon Eason,BBC
V. S. Mahalingam,Defence Research and Development Organisation
Vadivel Nimalarajah,Uthayan
Val Butnaru,Jurnal Trust Media
Val D. Rust,"University of California, Los Angeles"
Valentina Butnaru,Jurnal Trust Media
Valentina Ursu,Radio Free Europe/Radio Liberty
Valeriu Saharneanu,Euronova Media Group
Valérie Damidot,M6 (TV channel)
Vanessa Proux,IONIS Education Group
Vasile Botnaru,Radio Free Europe/Radio Liberty
Vaughan Bowen,M2 Telecommunications
Veaceslav Ţâbuleac,Euronova Media Group
Veikko Muronen,Wiima
Ven. Michael J. McGivney,Roman Catholic Archdiocese of Hartford
Venise T. Berry,University of Iowa
Venu Srinivasan,TVS Motor Company
Vera Osoianu,National Library of Moldova
Veronica Dillon,The Washington Post Company
Vesto Melvin Slipher,Lowell Observatory
Vic Carapazza,Major League Baseball
Vic Voltaggio,Major League Baseball
Victor Cobăsneanu,Vocea Basarabiei
Victor Gustav Bloede,Benton & Bowles
Victor Pickard,University of Pennsylvania
Victor Poor,United States Navy
Victoria Derbyshire,BBC
Victoria Recaño,KTLA
Victoria Stilwell,Channel 4
Vidya Jyothi Professor Janaka De Silva,University of Kelaniya
Vidya Yeravdekar,Symbiosis Society
Vijay Bose,All India Radio
Vijay K. Thadani,NIIT
Vijay P Parashar,Midwestern University
Vijay Pandhare,Government of Maharashtra
Vijaygupta Maurya,Janmabhumi
Vikram Lal,Eicher Motors
Viktor Mayer-Schönberger,University of Oxford
Vilho Annala,University of Helsinki
Vincent Browne,The Sunday Business Post
Vincent Hanley,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Vincent Laforet,LAFORET VISUALS Inc.
Vincent Michael DeDomenico,Golden Grain Macaroni Company
Vincent Woods,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Vineet Nayar,HCL Technologies
Viorica Cucereanu-Bogatu,TeleRadio-Moldova
Virgiliu Pop,Romanian Space Agency
Virginia Haviland,Library of Congress
Virginia Lamp Thomas,The Heritage Foundation
Vishal Inder Sikka,SAP AG
Vivek Paul,Wipro
Vivian de Buffrénil,Paris
Vlad Lupan,Vocea Basarabiei
Vladimir Ivanovich Lysenko,Russian Academy of Sciences
Vladimir Mikhailovich Petlyakov,Petlyakov
Vladimir Socor,The Jamestown Foundation
Volker Kempe,SensorDynamics
W. A. Ogden,Iowa
W. Alton Jones,Citgo
W. Cole Durham Jr.,Brigham Young University
W. Harry Davis,Star Tribune
W. W. Jeffers,National League
W.A Branville McCartney,Self-employment
W.E.W. (Teddy) Petter,Westland Aircraft
Wael Ghonim,Google
Waldemar Pabst,Rheinmetall
Wali Khan Babar,GEO News
Walker Connor,Middlebury College
Wally Fox-Decent,Workers Compensation Board of Manitoba
Walter Balderson,NBC
Walter D,Architectural lighting design
Walter Diemer,Fleer
Walter F. Scott III,GFI Software
Walter George Bor,"Richard Llewelyn-Davies, Baron Llewelyn-Davies"
Walter Gilbert Fremont,Bob Jones University
Walter Gilbey,Manx Telecom
Walter Jacobson,WFLD
Walter Lorenzo Marr,Marr (automobile)
Walter Mears,Associated Press
Walter Rothensteiner,Raiffeisen Zentralbank
Walter V. Shipley,Chemical Bank
Waqar Malik,ICI Pakistan Limited
Ward Farnsworth,University of Texas School of Law
Warren Burtis,National League
Warren Hellman,Hellman & Friedman
Watson Spoelstra,The Detroit News
Wayne Dolcefino,Texas
Wayne Hale,NASA
Wayne M. Brock,Boy Scouts of America
Wayne Worcester,University of Connecticut
Wendell Lee Roelofs,Cornell University College of Agriculture and Life Sciences
Wendy Kingston,Nine Network
Wendy Richard MBE,BBC
Werner G Jeanrond,University of Oxford
Wertha Pendleton Cole,Bryn Athyn College
Whitney North Seymour,Simpson Thacher & Bartlett
Wilhelm Rudolf Mann,IG Farben
Will Allen,Growing Power
Willem Duys,Algemene Vereniging Radio Omroep
Willem Ruis,Vara
William A. Dembski,Southern Evangelical Seminary
William Adams,North London Railway
William Alden Edson,SRI International
William B. Bader,Woodrow Wilson International Center for Scholars
William Baldwin,Forbes
William Bell Dinsmoor Sr.,Columbia University
William Betts,National League
William Bill Sweeney Jr.,International Foundation for Electoral Systems
William C. Martel,Tufts University
William Charles,Hudson's Bay Company
William D. Green,Accenture
William Dunlap,Park Theatre (Manhattan)
William E. Bentley,"University of Maryland, College Park"
William E. Leuchtenburg,University of North Carolina at Chapel Hill
William E. Watson,Immaculata University
William Felix Browder,Hermitage Capital Management
William Fetherstone Montgomery,Royal College of Physicians of Ireland
William Frederic Pendleton,General Church of the New Jerusalem
William G. Sinkford,First Unitarian Church of Portland
William Gibbs,Antony Gibbs & Sons
William Gurstelle,Make (magazine)
William H. Foege,Centers for Disease Control and Prevention
William H. Gerstenmaier,NASA
William H. Glenn,Georgia Power
William H. Osborne,Federal Signal Corporation
William Hanson,The English Manner
William Henry Carpenter,United States Department of State
William Henry Welch M.D.,Johns Hopkins University
William Hillcourt,Boy Scouts of America
William Hookham Carpenter,British Museum
William J. Aramony,United Way of America
William J. Connell,Seton Hall University
William J. Ruane,"Ruane, Cunniff & Goldfarb"
William Jefferson Blythe Jr.,United States Army
William Lafayett Darling,Northern Pacific Railway
William Leonard Laurence,The New York Times
William Levett Esq.,Charles I of England
William Mason,Mason Machine Works
William Menelaus,Rowland Fothergill
William Moulton Marston,Tufts University
William Mulholland,Los Angeles Department of Water and Power
William Nelson Cromwell,Sullivan & Cromwell
William P. Didusch,American Urological Association
William R. Snodgrass Sr.,Tennessee
William Randolph Hearst Jr.,Hearst Corporation
William Roache MBE,ITV plc
William S. Dietrich II,Worthington Industries
William Sharp,George III of the United Kingdom
William Smellie,William Creech
William Thornton Mustard,Hospital for Sick Children
William Thorsell,Munk School of Global Affairs
William Walter Remington,Tennessee Valley Authority
William Ward Pigman,New York Medical College
William Yardley,Province of Pennsylvania
Willis Bradley Haviland,United States Navy
Willy Dobbe,TROS
Wim Sweldens,Alcatel-Lucent
Winifred Watkins,University of London
Winona LaDuke,White Earth Land Recovery Project
Winthrop H. Smith,Merrill Lynch
Winthrop H. Smith Jr.,Sugarbush Resort
Wolfgang Rindler,University of Texas at Dallas
Wouter Jacobus Hanegraaff,University of Amsterdam
Wright Mahdi Bray,Muslim American Society
Wynford Vaughan-Thomas,ITV Wales & West
Władysław Daniłowski,Dana Records
Xavier Vives,IESE Business School
Yaheh Hallegua,Paradesi Synagogue
Yalda Hakim,BBC News
Yasheng Huang,MIT Sloan School of Management
Yashwant Sonawane,Government of Maharashtra
Yavor Dimitrov Ivanov,Xenium
Yeshayahu Leibowitz,Hebrew University of Jerusalem
Yoram Dinstein,Tel Aviv University
Yoshie Takeuchi,TV Asahi
Yoshiyuki Tomino,Sunrise (company)
Yoshizumi Ishihara,Fuji Television
Yu Yamada,Pony Canyon
Yuji Kishi,CUBCE Inc.
Yuki Saito,Toho
Yuri Bezmenov,RIA Novosti
Yves Romestan,Alliance Boots
Yvon Dandurand,University of the Fraser Valley
Zacharias Kunuk,Isuma
Zachary Mudge,Royal Navy
Zack Friedman,Morgan Stanley
Zak Greant,Foo Associates
Zarah Little,New Generation Pictures
Zarina Mehta (Screwvala),Swades Foundation
Zeinab Badawi,BBC
Zezi Ifore,Channel 4
Ziggy Sears,National League
Zoe Williams,The Guardian
Zoraida Sambolin,CNN
Zuzana Fialová,Slovak National Theatre
Åke Wilhelm Hjalmar Hammarskjöld,Permanent Court of International Justice
Éanna Ni Lamhna,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Édgar Eusebio Millán Gómez,Secretariat of Public Security (Mexico)
Édouard Brissaud,Piti%C3%A9-Salp%C3%AAtri%C3%A8re Hospital
Émile-Dostaler O,La Patrie
Éric Boullier,Lotus F1
Ýmir Vigfússon,Reykjav%C3%ADk University
رسول امين,English language
